Year,Month,Day,one_EURO_in_ILS
2023,7,27,4.1156
2023,7,26,4.0822
2023,7,25,4.084
2023,7,24,4.0498
2023,7,21,4.0343
2023,7,20,4.0183
2023,7,19,4.013
2023,7,18,4.0401
2023,7,17,4.0768
2023,7,14,4.047
2023,7,13,4.0476
2023,7,12,4.0534
2023,7,11,4.0522
2023,7,10,4.0648
2023,7,7,4.0524
2023,7,6,4.049
2023,7,5,4.0105
2023,7,4,4.0259
2023,7,3,4.031
2023,6,30,4.0434
2023,6,29,4.0181
2023,6,28,4.0056
2023,6,27,4.0112
2023,6,26,3.9525
2023,6,23,3.9446
2023,6,22,3.961
2023,6,21,3.9713
2023,6,20,3.946
2023,6,19,3.9431
2023,6,16,3.8885
2023,6,15,3.8929
2023,6,14,3.8845
2023,6,13,3.8401
2023,6,12,3.867
2023,6,9,3.8481
2023,6,8,3.9305
2023,6,7,3.9059
2023,6,6,3.9372
2023,6,5,3.9978
2023,6,2,4.0071
2023,6,1,4.0257
2023,5,31,3.9902
2023,5,30,3.9754
2023,5,29,3.989
2023,5,26,3.9973
2023,5,25,3.9949
2023,5,24,3.9945
2023,5,23,3.9819
2023,5,22,3.951
2023,5,19,3.9404
2023,5,18,3.92
2023,5,17,3.9471
2023,5,16,3.9635
2023,5,15,3.9769
2023,5,12,3.9818
2023,5,11,3.9757
2023,5,10,4.0003
2023,5,9,4.0151
2023,5,8,3.9986
2023,5,5,4.0012
2023,5,4,4.013
2023,5,3,4.0191
2023,5,2,4.0077
2023,5,1,3.9723
2023,4,28,3.9922
2023,4,27,4.0009
2023,4,26,4.0091
2023,4,25,3.9908
2023,4,24,4.0264
2023,4,21,4.0211
2023,4,20,4.0009
2023,4,19,3.9888
2023,4,18,3.9968
2023,4,17,3.9885
2023,4,14,4.0374
2023,4,13,4.0253
2023,4,12,4.0309
2023,4,11,3.9879
2023,4,10,3.9349
2023,4,7,3.9344
2023,4,6,3.9542
2023,4,5,3.9066
2023,4,4,3.9253
2023,4,3,3.9071
2023,3,31,3.8969
2023,3,30,3.9153
2023,3,29,3.8794
2023,3,28,3.8392
2023,3,27,3.8629
2023,3,24,3.8587
2023,3,23,3.8991
2023,3,22,3.9325
2023,3,21,3.9334
2023,3,20,3.9203
2023,3,17,3.9098
2023,3,16,3.8822
2023,3,15,3.8357
2023,3,14,3.8833
2023,3,13,3.8848
2023,3,10,3.8364
2023,3,9,3.8089
2023,3,8,3.7869
2023,3,7,3.819
2023,3,6,3.8341
2023,3,3,3.8907
2023,3,2,3.8825
2023,3,1,3.8499
2023,2,28,3.8598
2023,2,27,3.8792
2023,2,24,3.8616
2023,2,23,3.8417
2023,2,22,3.8423
2023,2,21,3.8667
2023,2,20,3.8184
2023,2,17,3.7856
2023,2,16,3.7898
2023,2,15,3.7679
2023,2,14,3.7741
2023,2,13,3.7708
2023,2,10,3.7671
2023,2,9,3.7571
2023,2,8,3.746
2023,2,7,3.7193
2023,2,6,3.723
2023,2,3,3.6987
2023,2,2,3.7034
2023,2,1,3.7496
2023,1,31,3.7465
2023,1,30,3.7502
2023,1,27,3.7359
2023,1,26,3.7109
2023,1,25,3.6785
2023,1,24,3.6504
2023,1,23,3.6546
2023,1,20,3.6843
2023,1,19,3.6877
2023,1,18,3.6587
2023,1,17,3.6702
2023,1,16,3.6854
2023,1,13,3.6959
2023,1,12,3.7023
2023,1,11,3.6937
2023,1,10,3.7154
2023,1,9,3.7215
2023,1,6,3.7284
2023,1,5,3.7278
2023,1,4,3.736
2023,1,3,3.7193
2023,1,2,3.7334
2022,12,30,3.7646
2022,12,29,3.7444
2022,12,28,3.7527
2022,12,27,3.7335
2022,12,26,3.716
2022,12,23,3.7149
2022,12,22,3.6978
2022,12,21,3.6713
2022,12,20,3.6775
2022,12,19,3.6648
2022,12,16,3.6593
2022,12,15,3.6315
2022,12,14,3.6273
2022,12,13,3.6183
2022,12,12,3.6137
2022,12,9,3.6079
2022,12,8,3.615
2022,12,7,3.6031
2022,12,6,3.5871
2022,12,5,3.5669
2022,12,2,3.5782
2022,12,1,3.5669
2022,11,30,3.5456
2022,11,29,3.548
2022,11,28,3.5594
2022,11,25,3.5554
2022,11,24,3.5554
2022,11,23,3.558
2022,11,22,3.5701
2022,11,21,3.5548
2022,11,18,3.5844
2022,11,17,3.5906
2022,11,16,3.5594
2022,11,15,3.5277
