Year,Month,Day,one_USD_in_EUROS,,
2023,7,27,0.9023,,
2023,7,26,0.902,,
2023,7,25,0.9044,,
2023,7,24,0.9037,,
2023,7,21,0.8989,,
2023,7,20,0.8983,,
2023,7,19,0.8927,,
2023,7,18,0.8906,,
2023,7,17,0.8898,,
2023,7,14,0.8904,,
2023,7,13,0.8906,,
2023,7,12,0.8983,,
2023,7,11,0.9083,,
2023,7,10,0.9088,,
2023,7,7,0.9115,,
2023,7,6,0.9182,,
2023,7,5,0.9211,,
2023,7,4,0.919,,
2023,7,3,0.9163,,
2023,6,30,0.9163,,
2023,6,29,0.9201,,
2023,6,28,0.9162,,
2023,6,27,0.9122,,
2023,6,26,0.9168,,
2023,6,23,0.918,,
2023,6,22,0.9125,,
2023,6,21,0.9101,,
2023,6,20,0.9158,,
2023,6,19,0.9154,,
2023,6,16,0.914,,
2023,6,15,0.9135,,
2023,6,14,0.9229,,
2023,6,13,0.9264,,
2023,6,12,0.9295,,
2023,6,9,0.9301,,
2023,6,8,0.9272,,
2023,6,7,0.9345,,
2023,6,6,0.9351,,
2023,6,5,0.9332,,
2023,6,2,0.9337,,
2023,6,1,0.929,,
2023,5,31,0.9353,,
2023,5,30,0.9314,,
2023,5,29,0.9338,,
2023,5,26,0.9323,,
2023,5,25,0.9326,,
2023,5,24,0.9301,,
2023,5,23,0.9284,,
2023,5,22,0.9246,,
2023,5,19,0.9254,,
2023,5,18,0.9282,,
2023,5,17,0.9223,,
2023,5,16,0.9204,,
2023,5,15,0.9195,,
2023,5,12,0.9215,,
2023,5,11,0.9158,,
2023,5,10,0.9104,,
2023,5,9,0.9121,,
2023,5,8,0.9084,,
2023,5,5,0.9074,,
2023,5,4,0.9079,,
2023,5,3,0.9039,,
2023,5,2,0.9088,,
2023,5,1,0.9108,,
2023,4,28,0.9071,,
2023,4,27,0.9065,,
2023,4,26,0.9055,,
2023,4,25,0.9113,,
2023,4,24,0.9054,,
2023,4,21,0.9098,,
2023,4,20,0.9115,,
2023,4,19,0.9127,,
2023,4,18,0.9112,,
2023,4,17,0.9151,,
2023,4,14,0.9088,,
2023,4,13,0.9054,,
2023,4,12,0.9097,,
2023,4,11,0.9162,,
2023,4,10,0.9206,,
2023,4,7,0.9173,,
2023,4,6,0.9153,,
2023,4,5,0.9168,,
2023,4,4,0.9129,,
2023,4,3,0.9176,,
2023,3,31,0.9223,,
2023,3,30,0.917,,
2023,3,29,0.9219,,
2023,3,28,0.9221,,
2023,3,27,0.926,,
2023,3,24,0.9291,,
2023,3,23,0.923,,
2023,3,22,0.9209,,
2023,3,21,0.9283,,
2023,3,20,0.9326,,
2023,3,17,0.9372,,
2023,3,16,0.9426,,
2023,3,15,0.9453,,
2023,3,14,0.9317,,
2023,3,13,0.9317,,
2023,3,10,0.9394,,
2023,3,9,0.9448,,
2023,3,8,0.948,,
2023,3,7,0.9478,,
2023,3,6,0.9363,,
2023,3,3,0.9402,,
2023,3,2,0.9434,,
2023,3,1,0.9371,,
2023,2,28,0.9452,,
2023,2,27,0.9424,,
2023,2,24,0.9479,,
2023,2,23,0.9436,,
2023,2,22,0.943,,
2023,2,21,0.939,,
2023,2,20,0.9358,,
2023,2,17,0.935,,
2023,2,16,0.937,,
2023,2,15,0.9354,,
2023,2,14,0.9312,,
2023,2,13,0.9326,,
2023,2,10,0.9362,,
2023,2,9,0.9311,,
2023,2,8,0.9334,,
2023,2,7,0.9321,,
2023,2,6,0.9316,,
2023,2,3,0.9262,,
2023,2,2,0.9163,,
2023,2,1,0.9098,,
2023,1,31,0.9205,,
2023,1,30,0.9218,,
2023,1,27,0.9199,,
2023,1,26,0.918,,
2023,1,25,0.9158,,
2023,1,24,0.9189,,
2023,1,23,0.9198,,
2023,1,20,0.921,,
2023,1,19,0.9233,,
2023,1,18,0.9263,,
2023,1,17,0.9269,,
2023,1,16,0.9242,,
2023,1,13,0.9232,,
2023,1,12,0.9215,,
2023,1,11,0.9295,,
2023,1,10,0.9313,,
2023,1,9,0.9318,,
2023,1,6,0.9392,,
2023,1,5,0.9502,,
2023,1,4,0.9431,,
2023,1,3,0.9475,,
2023,1,2,0.9376,,
2022,12,30,0.9341,,
2022,12,29,0.9379,,
2022,12,28,0.9422,,
2022,12,27,0.9397,,
2022,12,26,0.9399,,
2022,12,23,0.9418,,
2022,12,22,0.9437,,
2022,12,21,0.9428,,
2022,12,20,0.9413,,
2022,12,19,0.9426,,
2022,12,16,0.9446,,
2022,12,15,0.9407,,
2022,12,14,0.9361,,
2022,12,13,0.9404,,
2022,12,12,0.9489,,
2022,12,9,0.9493,,
2022,12,8,0.9471,,
2022,12,7,0.9517,,
2022,12,6,0.955,,
2022,12,5,0.953,,
2022,12,2,0.9486,,
2022,12,1,0.95,,
2022,11,30,0.9607,,
2022,11,29,0.968,,
2022,11,28,0.967,,
2022,11,25,0.9616,,
2022,11,24,0.9606,,
2022,11,23,0.9617,,
2022,11,22,0.9703,,
2022,11,21,0.9761,,
2022,11,18,0.9685,,
2022,11,17,0.9649,,
2022,11,16,0.9619,,
2022,11,15,0.9661,,
