,J00129,Contig29982_RC,AB033032,Contig42854,Contig46860_RC,Contig26832,Contig29250_RC,Contig14690_RC,Contig16374_RC,Contig34885,labels
0,-0.44799999999999995,-0.29600000000000004,0.09300000000000001,-0.1,0.326,0.156,0.44799999999999995,0.304,-0.12,0.154,True
1,-0.48,-0.512,-0.162,-0.031,-0.11599999999999999,0.022000000000000002,0.102,-0.114,-0.11199999999999999,-0.018000000000000002,True
2,-0.568,-0.41100000000000003,0.508,-0.39799999999999996,0.136,0.311,0.35200000000000004,0.768,-0.17,0.515,True
3,-0.8190000000000001,-0.267,-0.061,0.023,-2.0,-2.0,0.38299999999999995,-0.022000000000000002,-0.08199999999999999,0.106,True
4,-0.11199999999999999,-0.67,-0.161,0.42100000000000004,0.095,-0.006999999999999999,0.809,-0.07200000000000001,-0.235,0.053,True
5,-0.391,-0.31,-0.086,-0.06,0.132,-0.125,0.013000000000000001,-0.03,-0.055999999999999994,0.11,True
6,-0.624,-0.12,-0.192,-0.23600000000000002,-0.013000000000000001,-0.132,-0.222,-0.166,-0.109,-0.017,True
7,-0.528,-0.447,0.055,-0.254,-0.09699999999999999,0.008,-0.156,-0.053,-0.055999999999999994,0.15,True
8,-0.8109999999999999,-0.536,0.018000000000000002,-0.21100000000000002,0.28800000000000003,0.23600000000000002,0.11199999999999999,0.47600000000000003,0.5539999999999999,0.20199999999999999,True
9,-0.42,-0.28600000000000003,-0.307,-0.09,0.006999999999999999,0.0,-0.159,-0.098,-0.183,0.067,True
10,-0.6859999999999999,-0.33299999999999996,-0.07400000000000001,-0.295,-0.12300000000000001,-0.011000000000000001,-0.564,-2.0,0.14400000000000002,0.055999999999999994,True
11,-0.299,-0.13699999999999998,-0.142,-0.214,0.011000000000000001,0.059000000000000004,-0.107,-0.149,0.023,0.23800000000000002,True
12,-0.41600000000000004,-0.633,-0.109,-0.08800000000000001,0.012,0.09,0.309,0.324,0.259,0.063,True
13,-0.903,-0.638,0.149,0.17300000000000001,-0.024,0.022000000000000002,0.258,0.017,0.377,0.062,True
14,-0.605,-0.344,-0.213,-0.052000000000000005,0.023,-0.098,-0.129,-0.133,-0.006,0.08199999999999999,True
15,-0.721,-0.527,-0.20600000000000002,-0.332,-0.11199999999999999,0.13699999999999998,0.10099999999999999,0.127,0.099,-0.094,True
16,-1.1340000000000001,-0.168,0.027999999999999997,-0.168,-0.076,-0.114,0.045,-0.21100000000000002,0.198,0.107,True
17,-1.0290000000000001,-0.26,-0.31,-0.281,-0.08800000000000001,-0.08,0.282,0.925,0.213,-0.251,True
18,-0.385,-0.34700000000000003,-0.04,-0.395,-0.017,-0.017,0.042,0.034,0.023,0.094,True
19,-0.8,-0.556,-0.319,-0.442,0.05,0.043,0.2,0.193,0.235,0.036000000000000004,True
20,-0.755,-0.382,-0.055999999999999994,0.207,0.005,-0.195,0.134,-0.39799999999999996,-0.040999999999999995,-0.006999999999999999,True
21,-0.767,0.027000000000000003,-0.17600000000000002,-0.134,0.139,-0.043,-0.015,-0.073,0.057999999999999996,0.011000000000000001,True
22,-0.945,-0.542,0.212,-0.18899999999999997,-0.272,0.13699999999999998,-0.337,-0.413,0.344,0.24600000000000002,True
23,-1.173,-0.887,-0.271,-0.057999999999999996,-0.032,0.061,-0.053,-0.299,0.106,0.11900000000000001,True
24,-0.75,-0.316,-0.136,-0.021,-0.035,-0.21899999999999997,-0.179,-0.217,-2.0,-0.126,True
25,-0.474,-0.11900000000000001,-0.09699999999999999,-0.075,-0.02,0.078,-0.442,-0.048,-0.019,0.008,True
